Time(s),SoundLevel,Temperature,Humidity
2026-06-17 16:14:01,0.48,0,0.00,0.00
2026-06-17 16:14:02,0.98,0,0.00,0.00
2026-06-17 16:14:02,1.48,0,0.00,0.00
2026-06-17 16:14:03,1.98,0,0.00,0.00
2026-06-17 16:14:03,2.49,0,0.00,0.00
2026-06-17 16:14:04,2.99,0,-1.00,-1.00
2026-06-17 16:14:04,3.49,0,35.60,69.00
2026-06-17 16:14:05,4.01,0,35.60,69.00
2026-06-17 16:14:06,4.52,0,35.60,69.00
2026-06-17 16:14:06,5.02,0,35.60,6.00
2026-06-17 16:14:07,5.53,200,35.60,69.00
2026-06-17 16:14:07,6.03,0,35.60,69.00
2026-06-17 16:14:08,6.53,200,35.60,69.00
2026-06-17 16:14:08,7.03,200,35.60,69.00
2026-06-17 16:14:09,7.53,200,35.60,69.00
2026-06-17 16:14:09,8.03,0,35.60,69.00
2026-06-17 16:14:10,8.53,0,35.60,69.00
2026-06-17 16:14:10,9.04,0,35.60,69.00
2026-06-17 16:14:11,9.54,0,35.60,69.00
2026-06-17 16:14:11,10.05,0,35.60,69.00
2026-06-17 16:14:12,10.55,0,35.60,69.00
2026-06-17 16:14:12,11.05,0,35.60,69.00
2026-06-17 16:14:13,11.55,0,35.60,69.00
2026-06-17 16:14:13,12.05,0,35.60,69.00
2026-06-17 16:14:14,12.55,0,35.60,69.00
2026-06-17 16:14:14,13.05,200,35.60,69.00
2026-06-17 16:14:15,13.56,0,35.60,69.00
2026-06-17 16:14:15,14.06,0,35.60,69.00
2026-06-17 16:14:16,14.56,0,35.60,69.00
2026-06-17 16:14:16,15.06,200,35.60,69.00
2026-06-17 16:14:17,15.56,0,35.60,69.00
2026-06-17 16:14:17,16.06,0,35.60,69.00
