Time(s),SoundLevel,Temperature,Humidity
0.48,0,0.00,0.00
0.99,0,0.00,0.00
1.49,0,0.00,0.00
1.99,0,0.00,0.00
2.49,0,0.00,0.00
2.99,0,35.60,69.00
3.49,0,35.60,69.00
4.00,0,35.60,69.00
4.50,0,35.60,69.00
5.00,0,35.60,69.00
5.50,200,35.60,69.00
6.00,200,35.60,69.00
6.50,0,35.60,69.00
7.01,200,35.60,69.00
7.51,200,35.60,69.00
8.01,0,35.60,69.00
8.54,200,35.60,69.00
9.04,200,35.60,69.00
9.54,0,35.60,69.00
10.04,0,35.60,69.00
10.54,200,35.60,69.00
11.04,0,35.60,69.00
11.55,0,35.60,69.00
12.05,0,35.60,69.00
12.55,0,35.60,6.00
13.05,200,35.60,69.00
13.55,200,35.60,69.00
14.05,0,35.60,69.00
14.55,200,35.60,69.00
15.06,200,35.60,69.00
15.56,200,35.60,69.00
