Time(s),SoundLevel,Temperature,Humidity
2026-06-17 16:01:13,0.48,0,0.00,0.00
2026-06-17 16:01:14,0.98,0,0.00,0.00
2026-06-17 16:01:14,1.48,0,0.00,0.00
2026-06-17 16:01:15,1.99,0,0.00,0.00
2026-06-17 16:01:15,2.49,0,0.00,0.00
2026-06-17 16:01:46,2.99,0,35.60,69.00
2026-06-17 16:01:47,3.49,0,35.60,69.00
2026-06-17 16:01:47,3.99,200,35.60,69.00
2026-06-17 16:01:48,4.50,0,35.60,69.00
2026-06-17 16:01:48,5.00,0,35.60,69.00
2026-06-17 16:01:49,5.50,0,35.60,69.00
2026-06-17 16:01:49,6.00,0,35.60,69.00
2026-06-17 16:01:50,6.50,0,35.60,69.00
2026-06-17 16:01:50,7.00,0,35.60,69.00
2026-06-17 16:01:51,7.51,0,35.60,69.00
2026-06-17 16:01:51,8.01,0,35.60,69.00
2026-06-17 16:01:52,8.51,0,35.60,69.00
2026-06-17 16:01:52,9.01,0,35.60,69.00
2026-06-17 16:01:53,9.51,0,35.60,69.00
2026-06-17 16:01:53,10.01,0,35.60,69.00
2026-06-17 16:01:54,10.51,0,35.60,69.00
2026-06-17 16:01:54,11.01,0,35.60,69.00
2026-06-17 16:01:55,11.51,0,35.60,69.00
2026-06-17 16:01:55,12.01,0,35.60,69.00
2026-06-17 16:01:56,12.51,0,35.60,69.00
2026-06-17 16:01:56,13.02,0,35.60,69.00
2026-06-17 16:01:57,13.52,0,35.60,6900.00
2026-06-17 16:01:57,14.02,0,35.60,69.00
2026-06-17 16:01:58,14.52,0,35.60,69.00
2026-06-17 16:01:58,15.02,0,35.60,69.00
2026-06-17 16:01:59,15.52,0,35.60,69.00
2026-06-17 16:01:59,16.02,0,35.60,69.00
2026-06-17 16:02:00,16.53,0,35.60,69.00
2026-06-17 16:02:00,17.04,0,35.60,69.00
2026-06-17 16:02:01,17.54,0,35.60,69.00
2026-06-17 16:02:01,18.04,0,35.60,69.00
2026-06-17 16:02:02,18.54,0,35.60,69.00
2026-06-17 16:02:02,19.04,0,35.60,69.00
2026-06-17 16:02:03,19.54,0,35.60,69.00
2026-06-17 16:02:03,20.04,200,35.60,69.00
2026-06-17 16:02:04,20.54,200,35.60,69.00
2026-06-17 16:02:04,21.04,200,35.60,69.00
2026-06-17 16:02:05,21.55,200,35.60,69.00
2026-06-17 16:02:05,22.05,200,35.60,69.00
2026-06-17 16:02:06,22.55,200,35.60,69.00
2026-06-17 16:02:06,23.05,200,35.60,69.00
2026-06-17 16:02:07,23.55,200,35.60,69.00
2026-06-17 16:02:07,24.05,200,35.60,69.00
2026-06-17 16:02:08,24.55,200,35.60,69.00
2026-06-17 16:02:08,25.05,200,35.60,69.00
2026-06-17 16:02:09,25.55,200,35.60,69.00
2026-06-17 16:02:09,26.06,0,35.60,69.00
2026-06-17 16:02:10,26.56,0,35.60,69.00
2026-06-17 16:02:10,27.06,0,35.60,69.00
2026-06-17 16:02:11,27.56,200,35.60,69.00
2026-06-17 16:02:11,28.06,200,35.60,69.00
2026-06-17 16:02:12,28.56,200,35.60,69.00
2026-06-17 16:02:12,29.06,200,35.60,69.00
2026-06-17 16:02:13,29.56,200,35.60,69.00
2026-06-17 16:02:13,30.06,200,35.60,69.00
2026-06-17 16:02:14,30.57,0,35.60,69.00
2026-06-17 16:02:14,31.07,200,35.60,69.00
2026-06-17 16:02:15,31.57,200,35.60,69.00
2026-06-17 16:02:15,32.07,200,35.60,69.00
2026-06-17 16:02:16,32.57,200,35.60,69.00
2026-06-17 16:02:16,33.07,200,35.60,69.00
2026-06-17 16:02:17,33.57,200,35.60,69.00
2026-06-17 16:02:17,34.07,200,35.60,69.00
2026-06-17 16:02:18,34.58,200,35.60,69.00
2026-06-17 16:02:18,35.08,200,35.60,9.00
2026-06-17 16:02:19,35.58,200,35.60,69.00
2026-06-17 16:02:51,36.08,0,35.60,69.00
2026-06-17 16:02:51,36.59,0,35.60,69.00
2026-06-17 16:02:52,37.09,0,35.60,69.00
2026-06-17 16:02:52,37.59,0,35.60,69.00
2026-06-17 16:02:53,38.10,0,35.60,9.00
2026-06-17 16:02:53,38.60,0,35.60,69.00
2026-06-17 16:02:54,39.10,0,35.60,69.00
2026-06-17 16:02:54,39.60,0,35.60,69.00
2026-06-17 16:02:55,40.10,0,5.60,69.00
2026-06-17 16:02:55,40.60,0,35.60,69.00
2026-06-17 16:02:56,41.10,0,35.60,69.00
2026-06-17 16:02:56,41.61,200,35.60,69.00
2026-06-17 16:02:57,42.11,0,35.60,69.00
2026-06-17 16:02:57,42.61,200,35.60,69.00
2026-06-17 16:02:58,43.11,0,35.60,69.00
2026-06-17 16:02:58,43.61,0,35.60,69.00
2026-06-17 16:02:59,44.12,0,35.60,69.00
2026-06-17 16:02:59,44.62,0,35.60,69.00
2026-06-17 16:03:00,45.12,0,35.60,69.00
2026-06-17 16:03:00,45.62,0,35.60,69.00
2026-06-17 16:03:01,46.12,0,35.60,69.00
2026-06-17 16:03:01,46.62,0,35.60,69.00
