Time(s),SoundLevel,Temperature,Humidity
0.48,0,0.00,0.00
0.98,0,0.00,0.00
1.48,0,0.00,0.00
1.98,0,0.00,0.00
2.48,0,0.00,0.00
2.99,200,34.70,79.00
3.49,200,34.70,79.00
3.99,200,34.70,79.00
4.49,200,3.70,79.00
4.99,0,34.70,79.00
5.49,200,34.70,79.00
5.99,200,34.70,79.00
6.49,0,34.70,79.00
6.99,0,34.70,80.00
7.49,0,34.70,80.00
8.00,200,34.70,80.00
8.50,0,34.70,80.00
9.00,0,34.70,80.00
9.50,0,34.70,80.00
10.00,200,34.70,0.00
10.50,200,34.70,80.00
11.00,0,34.70,80.00
11.50,200,34.70,80.00
12.01,200,34.70,80.00
12.51,200,34.70,80.00
13.01,200,34.70,79.00
13.51,200,34.70,79.00
14.01,0,34.70,79.00
14.51,0,34.70,79.00
15.01,200,34.70,79.00
15.51,200,34.70,79.00
16.02,200,34.70,79.00
16.52,200,34.70,79.00
17.22,200,34.70,79.00
17.72,200,3470.00,79.00
18.22,200,34.70,79.00
18.73,0,34.70,79.00
19.23,0,34.70,79.00
19.73,0,34.70,79.00
20.23,0,34.70,79.00
20.73,0,34.70,79.00
21.23,0,34.70,79.00
21.73,0,34.70,79.00
22.23,0,34.70,79.00
22.73,0,34.70,79.00
23.23,0,34.70,79.00
